264879;256061;1
264864;256083;18
264864;254657;3
264864;254658;2
264864;255590;20
264854;255684;12
264823;255416;4
264823;255430;30
264823;255456;20
264814;255350;6
264814;255352;1
264814;255529;420
264814;255531;50
264814;255535;80
264814;255842;1
264814;255916;2
264814;254660;200
264814;256359;1
264814;256586;1
264798;256813;19
264798;255964;1
264798;255078;4
264751;256037;16
264709;256197;7
264709;256808;17
264709;254922;2
264701;254660;200
264701;255916;2
264701;255842;1
264701;255535;80
264701;255531;50
264701;255529;420
264701;255350;6
264701;255352;1
264701;255340;15
264701;256586;1
264701;256359;1
264689;256281;19
264689;256451;3
264689;256083;23
264689;256598;3
264689;254658;3
264689;254657;3
264689;254653;1
264689;255084;1
264644;254657;2
264644;255463;22
264644;256321;16
264638;255118;3
264605;255084;1
264605;256123;1
264605;256813;14
264576;256536;22
264576;256021;13
264576;254968;2
264550;255417;2
264512;255249;8
264485;255590;20
264485;256185;17
264485;256480;2
264485;256499;1
264485;256630;2
264477;255423;2
264459;256813;16
264415;256123;1
264415;255950;50
264415;255079;10
264403;255684;25
264403;256877;1
264403;257343;22
264395;256499;3
264395;256324;22
264372;256810;31
264372;255590;11
264365;255596;1
264357;255078;3
264357;256128;8
264306;255590;8
264251;255531;8
264251;255384;1
264201;256293;1
264158;256154;1
264138;255549;9
264138;255589;10
264104;255589;10
264067;256279;1
264065;256324;24
264065;256499;2
264065;256480;2
264065;256138;4
264065;256071;18
264065;254936;4
264065;254657;2
264019;255158;1
263987;254639;23
263987;255619;1
263987;255621;3
263987;256630;2
263987;256888;23
263978;257340;2
263978;257341;2
263978;255590;22
263978;255897;16
263978;254657;2
263978;255084;1
263978;255078;2
263976;256449;1
263939;257073;1
263894;255876;1
263849;255423;2
263800;257329;1
263754;256128;11
263754;255078;5
263747;255023;1
263726;255058;5
263726;254982;39
263726;255451;17
263726;255452;12
263726;255884;1
263726;255881;1
263726;256321;2
263681;255924;17
263636;256513;2
263636;256808;4
263633;255818;1
263629;256810;20
263598;256061;1
263568;255972;3
263539;256872;1
263522;257072;1
263497;255202;3
263469;256032;1
263467;256121;7
263436;256172;1
263411;255423;15
263390;254657;1
263390;256491;7
263390;256281;6
263330;254918;6
263330;255137;26
263283;255463;1
263225;257076;25
263185;254793;4
263143;256947;1
263101;256687;5
263061;255417;3
263011;255416;20
262958;254918;6
262958;255137;25
262940;256271;1
262927;255919;15
262873;255416;19
262866;256630;3
262862;255646;1
262815;257308;20
262797;256518;4
262761;256065;1
262750;255940;1
262740;256359;1
262737;256747;7
262705;256599;12
262705;255582;4
262705;255581;5
262705;254657;1
262689;255023;1
262666;254938;2
262666;254657;2
262666;255595;12
262666;255378;10
262666;256505;15
262666;256497;4
262609;255197;2
262609;255217;3
262550;255078;1
262550;256815;3
262507;256250;15
262480;255079;16
262434;254657;1
262434;256500;1
262434;256529;5
262434;256126;5
262434;256627;1
262434;256808;7
262432;255474;4
262387;256538;5
262360;256538;26
262360;255933;29
262360;255509;4
262360;255514;2
262360;254875;1
262350;254657;1
262350;254653;1
262350;255924;7
262350;256924;6
262339;255684;20
262316;255590;7
262310;255416;11
262253;255594;5
262253;254657;1
262194;255939;3
262171;255023;1
262165;255127;1
262116;257308;1
262061;256359;1
262055;256245;1
262010;256245;1
261966;257339;14
261960;254964;1
261956;257070;1
261901;256061;1
261900;255064;1
261856;255614;5
261820;255620;3
261785;254657;2
261785;256497;2
261785;256744;12
261751;255975;33
261727;255474;2
261693;256015;6
261636;255950;4
261636;255078;1
261624;255228;9
261624;255230;5
261624;255234;8
261624;256455;8
261589;256185;13
261589;254657;2
261550;254657;2
261550;254889;3
261550;256447;17
261523;254657;1
261523;254653;2
261523;254982;17
261523;255343;1
261523;255464;9
261523;255428;18
261523;255443;9
261523;255881;1
261522;254657;1
261522;256480;1
261522;256499;1
261522;256185;14
261522;256321;13
261522;256370;2
261484;256458;3
261427;256175;1
261426;255320;1
261423;256170;1
261389;256810;7
261361;256430;1
261313;256493;1
261279;255097;8
261257;255416;2
261245;255078;20
261245;255079;10
261245;255967;20
261245;255964;24
261188;256656;6
261145;254999;1
261109;256293;3
261054;256522;11
261054;255924;10
261054;256876;3
261054;255084;1
261054;254657;1
261034;256892;37
260975;256391;1
260928;255199;5
260869;256493;1
260810;256493;1
260752;255924;6
260734;256286;8
260734;255079;2
260674;255942;1
260639;256808;52
260639;255079;1
260639;255078;6
260628;255500;2
260578;255199;8
260578;255358;1
260578;255244;6
260578;255249;7
260536;255966;38
260502;256865;12
260461;255924;6
260429;255249;6
260429;255245;6
260429;255202;7
260429;255395;30
260429;254952;2
260429;254953;2
260396;255424;40
260396;255844;1
260365;255924;12
260356;256814;20
260332;255924;20
260307;255966;38
260269;256810;46
260216;257279;1
260184;257325;12
260184;255084;1
260157;255078;7
260157;256128;14
260097;255126;1
260096;255084;1
260096;257325;11
260043;256808;6
260043;255590;42
259998;255078;2
259998;255079;3
259998;255966;5
259972;256083;36
259972;256324;36
259972;256630;4
259972;254658;4
259972;254659;1
259922;256083;1
259890;255131;1
259830;254657;1
259830;254638;8
259815;255396;1
259775;256123;1
259729;256336;2
259717;254853;1
259717;254855;1
259717;254795;1
259717;254797;1
259713;255709;2
259661;256460;15
259654;255590;15
259618;255382;5
259576;255248;4
259547;256694;15
259502;256493;2
259451;256404;1
259408;256631;2
259356;255424;12
259348;255079;11
259348;255078;18
259348;256286;33
259338;256476;8
259280;255971;2
259220;256443;10
259209;255121;2
259156;256550;4
259105;256538;30
259045;254969;1
259045;255614;13
259003;255423;12
258954;255614;2
258948;254653;1
258895;256250;2
258854;256293;2
258814;256321;5
258814;254653;1
258814;254657;1
258814;255463;4
258791;254965;1
258742;254657;4
258742;255498;2
258742;255550;1
258742;255924;35
258742;255934;36
258696;255154;1
258689;255083;1
258632;254657;3
258632;255924;29
258632;256071;24
258632;256480;3
258632;256499;2
258625;255933;18
258625;257286;21
258625;254657;2
258625;255514;1
258625;255509;3
258596;255079;4
258596;255078;2
258596;257071;3
258596;255966;14
258537;255615;1
258490;254657;3
258490;256500;2
258490;256511;18
258490;256496;1
258490;256442;3
258478;256121;30
258478;256889;23
258478;255084;2
258423;255877;7
258365;255877;6
258365;254885;11
258365;254918;2
258311;256493;1
258281;256515;12
258244;256099;13
258195;256810;22
258158;255416;2
258143;255615;22
258143;255691;1
258143;255695;1
258143;256123;1
258086;256332;40
258044;257108;3
258039;256813;18
258039;256810;5
258039;256483;3
258039;254922;1
257981;255615;12
257976;255515;5
257976;256810;42
257948;254958;20
257936;255430;30
257925;255445;1
257925;255428;18
257925;255426;34
257925;255452;3
257925;255451;13
257925;255881;1
257925;255884;1
257925;255908;1
257925;254990;59
257925;256587;1
257925;256868;2
257925;256493;1
257897;256519;4
257854;256493;1
257854;256868;2
257854;254990;56
257854;255908;1
257854;255884;1
257854;255881;1
257854;255426;31
257854;255428;16
257854;255445;1
257854;255451;9
257798;255788;5
257798;255806;20
