254636;Uso indicado;Para Concreto, Madeira, Metal e Tijolo
254636;Potência (W);600
254636;Tensão Elétrica;127V
254636;Unidade de Venda;Peça
254636;vcUnidadeMedida;peça
254636;vcFatorMultiplicador;1
254636;Marca;Bosch
254636;Classificação do produto;Furadeira de Impacto Reversível
254636;vcUnidadeMedidaVenda;peça
254636;Peso da Peça;1,6kg
254636;Contato Fabricante;08007045446 / http://www.bosch-professional.com/br/pt/
254636;Garantia fabricante;12 meses
254636;Tipo de Produto;Ferramenta Elétrica
254636;Produto;Furadeira
254636;Impactos por minuto;0-47.250
254636;Capacidade de Perfuração Concreto;13mm
254636;Capacidade de Perfuração Aço;10mm
254636;Capacidade de Perfuração Madeira;25mm
254636;Conteúdo da Embalagem;empunhadeira auxiliar, chave de mandril, limitador de profundidade
254636;Linha ou Modelo;GSB 13 RE 127 Volts
254637;Cor;Peroba Gris / Positano
254637;Uso indicado;Interno
254637;Modelo;Clean
254637;Material;Madeira
254637;Tipo de material;MDF
254637;Unidade de Venda;Peça
254637;Aparência;Bege
254637;Ambientes recomendados;Salas e Quartos
254637;Local Indicado;Paredes
254637;vcUnidadeMedida;m
254637;vcFatorMultiplicador;2,100000
254637;Marca;Durafloor
254637;Classificação do produto;Rodapé
254637;Garantia residencial;12 Anos
254637;Meio ambiente;100% reflorestado - Ecologicamente correto
254637;vcUnidadeMedidaVenda;peça
254637;Contra indicações;Ambientes externos, molhados ou expostos ao sol
254637;Instruções de limpeza e Manutenção;Para limpeza diária, basta um pano seco. Sujeiras profundas podem ser removidas com um pano
254637;Peso da Peça;1,580kg
254637;Altura da Peça;8 cm
254637;Espessura da Peça;1,8 cm
254637;Contato Fabricante;08007703872 / http://www.durafloor.com.br
254637;Linha ou Modelo;Clean
254637;Largura da Peça;210 cm
254637;Dimensões e Tamanho;80mm x 18mm x 2100mm
254637;Cor do produto;Peroba Gris / Positano
254638;Cor;Peroba Gris
254638;vcPerdaDeInstalacao;5
254638;Uso indicado;Uso Residencial
254638;Tipo de material;HDF - Painel de fibras de alta densidade, produzido com fibras de madeiras selecionadas de Pinus ou Eucalipto de reflorestamento, impregnado de resina termofixadas por pressão e alta temperatura.
254638;Aparência;Imitação da aparência da madeira. Realista de imagem e textura
254638;Borda;Reta
254638;Selos;FSC / Protekto
254638;Textura;Madeira Linheira
254638;Quantidade de réguas na caixa;8 réguas
254638;Tipo de instalação;Clicado
254638;vcProdutosRelacionados;"1912:0,067;1914:0,954;1915:0,03;1918:0,05;4363:0,07;5452:0,0983;"
254638;Ambientes recomendados;Ambientes internos. Áreas residenciais e comerciais de baixo tráfego.
254638;Passível de Reutilização;Não
254638;vcUnidadeMedida;m²
254638;vcFatorMultiplicador;2,004640
254638;vcIndicacaoProfissional;S
254638;Marca;Durafloor
254638;Origem;Nacional
254638;Classificação do produto;Piso Laminado
254638;Garantia residencial;12 Anos
254638;Peso da caixa;13 Kg
254638;Metragem da régua;" 7x187x1340 mm"
254638;Espessura da caixa;6cm
254638;Meio ambiente;100% reflorestado - Ecologicamente correto
254638;Escala de brilho;Fosco
254638;Largura da caixa;20cm
254638;Comprimento da caixa;1,37cm
254638;vcUnidadeMedidaVenda;caixa
254638;Contra indicações;Não é indicado para uso em ambiente externo onde haja humidade
254638;Instruções de limpeza e Manutenção;Pano levemente úmido, vassoura ou espanador. Não é permitido produtos químicos ou cera.
254638;Área de cobertura;2,005 m²
254638;Resistência / Classe de Abrasão;AC3
254638;Linha ou Modelo;Ritz
254638;Cor do produto;Peroba Gris
254639;Cor;Cerezo Varese
254639;vcPerdaDeInstalacao;5
254639;Uso indicado;Uso Residencial
254639;Tipo de material;HDF - Painel de fibras de alta densidade, produzido com fibras de madeiras selecionadas de Pinus ou Eucalipto de reflorestamento, impregnado de resina termofixadas por pressão e alta temperatura.
254639;Aparência;Imitação da aparência da madeira. Realista de imagem e textura
254639;Borda;Reta
254639;Selos;FSC / Protekto
254639;Textura;Madeira Linheira
254639;Quantidade de réguas na caixa;8 réguas
254639;Tipo de instalação;Clicado
254639;vcProdutosRelacionados;"2061:0,03;2063:0,067;2065:0,05;4363:0,07;5452:0,0983;"
254639;Ambientes recomendados;Ideal para aplicação em áreas residenciais internas
254639;Passível de Reutilização;Não
254639;vcUnidadeMedida;m²
254639;vcFatorMultiplicador;2,004640
254639;vcIndicacaoProfissional;S
254639;Marca;Durafloor
254639;Origem;Nacional
254639;Classificação do produto;Piso Laminado
254639;Peso da caixa;13 Kg
254639;Metragem da régua;" 7x187x1340 mm"
254639;Espessura da caixa;6cm
254639;Meio ambiente;100% reflorestado - Ecologicamente correto
254639;Escala de brilho;Fosco
254639;Largura da caixa;20cm
254639;Comprimento da caixa;1,37cm
254639;vcUnidadeMedidaVenda;caixa
254639;Contra indicações;Não é indicado para uso em ambiente externo onde haja humidade
254639;Instruções de limpeza e Manutenção;Pano levemente úmido, vassoura ou espanador. Não é permitido produtos químicos ou cera.
254639;Área de cobertura;2,005 m²
254639;Resistência / Classe de Abrasão;AC3
254639;Linha ou Modelo;Ritz
254639;Cor do produto;Cerezo Varese
254640;Cor;Pecan Cairo
254640;vcPerdaDeInstalacao;5
254640;Uso indicado;Uso Residencial
254640;Tipo de material;HDF - Painel de fibras de alta densidade, produzido com fibras de madeiras selecionadas de Pinus ou Eucalipto de reflorestamento, impregnado de resina termofixadas por pressão e alta temperatura.
254640;Aparência;Imitação da aparência da madeira. Realista de imagem e textura
254640;Borda;Reta
254640;Selos;FSC / Protekto
254640;Textura;Madeira Linheira
254640;Quantidade de réguas na caixa;8 réguas
254640;Tipo de instalação;Clicado
254640;vcProdutosRelacionados;"2030:0,067;2031:0,05;2032:0,03;2093:0,954;4363:0,07;5452:0,0983;"
254640;Ambientes recomendados;Ideal para aplicação em áreas residenciais internas
254640;Passível de Reutilização;Não
254640;vcUnidadeMedida;m²
254640;vcFatorMultiplicador;2,004640
254640;vcIndicacaoProfissional;S
254640;Marca;Durafloor
254640;Origem;Nacional
254640;Classificação do produto;Piso Laminado
254640;Garantia residencial;12 Anos
254640;Peso da caixa;13 Kg
254640;Metragem da régua;" 7x187x1340 mm"
254640;Espessura da caixa;6cm
254640;Meio ambiente;100% reflorestado - Ecologicamente correto
254640;Escala de brilho;Fosco
254640;Largura da caixa;20cm
254640;Comprimento da caixa;1,37cm
254640;vcUnidadeMedidaVenda;caixa
254640;Contra indicações;Não é indicado para uso em ambiente externo onde haja humidade
254640;Instruções de limpeza e Manutenção;Pano levemente úmido, vassoura ou espanador. Não é permitido produtos químicos ou cera.
254640;Área de cobertura;2,005 m²
254640;Resistência / Classe de Abrasão;AC3
254640;Linha ou Modelo;Ritz
254640;Cor do produto;Pecan Cairo
254641;Cor;Tauari Ravena
254641;vcPerdaDeInstalacao;5
254641;Uso indicado;Uso Residencial
254641;Tipo de material;HDF - Painel de fibras de alta densidade, produzido com fibras de madeiras selecionadas de Pinus ou Eucalipto de reflorestamento, impregnado de resina termofixadas por pressão e alta temperatura.
254641;Aparência;Imitação da aparência da madeira. Realista de imagem e textura
254641;Borda;Reta
254641;Selos;FSC / Protekto
254641;Textura;Madeira Linheira
254641;Quantidade de réguas na caixa;8 réguas
254641;Tipo de instalação;Clicado
254641;vcProdutosRelacionados;"2062:0,03;2064:0,067;2066:0,05;2164:0,954;4363:0,07;5452:0,0983;"
254641;Ambientes recomendados;Ideal para aplicação em áreas residenciais internas
254641;Passível de Reutilização;Não
254641;vcUnidadeMedida;m²
254641;vcFatorMultiplicador;2,004640
254641;vcIndicacaoProfissional;S
254641;Marca;Durafloor
254641;Origem;Nacional
254641;Classificação do produto;Piso Laminado
254641;Garantia residencial;12 Anos
254641;Peso da caixa;13 Kg
254641;Metragem da régua;" 7x187x1340 mm"
254641;Espessura da caixa;6cm
254641;Meio ambiente;100% reflorestado - Ecologicamente correto
254641;Escala de brilho;Fosco
254641;Largura da caixa;20cm
254641;Comprimento da caixa;1,37cm
254641;vcUnidadeMedidaVenda;caixa
254641;Contra indicações;Não é indicado para uso em ambiente externo onde haja humidade
254641;Instruções de limpeza e Manutenção;Pano levemente úmido, vassoura ou espanador. Não é permitido produtos químicos ou cera.
254641;Área de cobertura;2,005 m²
254641;Resistência / Classe de Abrasão;AC3
254641;Linha ou Modelo;Ritz
254641;Cor do produto;Tauari Ravena
254642;Cor;Amendola Vergara
254642;vcPerdaDeInstalacao;5
254642;Uso indicado;Uso Residencial
254642;Tipo de material;HDF - Painel de fibras de alta densidade, produzido com fibras de madeiras selecionadas de Pinus ou Eucalipto de reflorestamento, impregnado de resina termofixadas por pressão e alta temperatura.
254642;Aparência;Imitação da aparência da madeira. Realista de imagem e textura
254642;Borda;Reta
254642;Selos;FSC / Protekto
254642;Textura;Madeira Linheira
254642;Quantidade de réguas na caixa;8 réguas
254642;Tipo de instalação;Clicado
254642;vcProdutosRelacionados;"2122:0,05;2129:0,067;2136:0,03;2205:0,954;4363:0,07;5452:0,0983;"
254642;Ambientes recomendados;Ideal para aplicação em áreas residenciais internas
254642;Passível de Reutilização;Não
254642;vcUnidadeMedida;m²
254642;vcFatorMultiplicador;2,004640
254642;vcIndicacaoProfissional;S
254642;Marca;Durafloor
254642;Origem;Nacional
254642;Classificação do produto;Piso Laminado
254642;Garantia residencial;12 Anos
254642;Peso da caixa;13 Kg
254642;Metragem da régua;" 7x187x1340 mm"
254642;Espessura da caixa;6cm
254642;Meio ambiente;100% reflorestado - Ecologicamente correto
254642;Escala de brilho;Fosco
254642;Largura da caixa;20cm
254642;Comprimento da caixa;1,37cm
254642;vcUnidadeMedidaVenda;caixa
254642;Contra indicações;Não é indicado para uso em ambiente externo onde haja humidade
254642;Instruções de limpeza e Manutenção;Pano levemente úmido, vassoura ou espanador. Não é permitido produtos químicos ou cera.
254642;Área de cobertura;2,005 m²
254642;Resistência / Classe de Abrasão;AC3
254642;Linha ou Modelo;Ritz
254642;Cor do produto;Amendola Vergara
254643;Cor;Gris Almada
254643;vcPerdaDeInstalacao;5
