264879;2019-06-10 21:18:10.0000000;Pago;51,14;13,71;312529;Mercado Pago;1
264864;2019-06-10 22:15:06.1442711;Pago;2306,12;0,00;312528;Visa;12
264854;2019-06-10 21:28:26.7596086;Pago;447,67;48,79;312527;Visa;8
264823;2019-06-10 21:02:05.3297068;Pago;782,02;0,00;295148;Visa;12
264814;2019-06-10 18:38:15.6605187;Aguardando Pagamento;2788,61;6,58;306240;Deposito Bancario;1
264798;2019-06-10 17:26:46.1827439;Aguardando Pagamento;1221,87;66,28;312368;ItauShopline;1
264751;2019-06-10 15:38:37.6381904;Pago;4815,22;477,75;312524;MasterCard;12
264709;2019-06-10 15:33:03.8134574;Pedido Enviado;2170,15;52,50;312523;MasterCard;10
264701;2019-06-10 15:15:11.7731654;Pedido Cancelado;9781,30;6,58;306240;Deposito Bancario;1
264689;2019-06-10 14:12:41.1898360;Pago;3676,87;266,71;312521;MasterCard;10
264644;2019-06-10 13:56:01.7747579;Pago;1684,38;0,00;309240;MasterCard;12
264638;2019-06-10 13:32:32.5568108;Aguardando Pagamento;757,79;0,00;311123;ItauShopline;1
264605;2019-06-10 13:17:25.0098122;Pago;1072,05;69,41;312520;Elo;12
264576;2019-06-10 11:47:22.3296117;Pago;4287,75;132,21;312185;Visa;1
264550;2019-06-10 11:12:27.0000000;Pedido Enviado;301,24;52,50;312518;Mercado Pago;1
264512;2019-06-10 11:37:22.8502567;Pedido Enviado;63,08;0,00;312387;Visa;1
264485;2019-06-10 09:14:04.2930195;Pago;2445,99;101,29;312516;Visa;10
264477;2019-06-10 01:29:59.0000000;Pago;707,61;126,75;312495;Mercado Pago;1
264459;2019-06-09 23:59:57.0000000;Pago;1067,66;71,50;312513;Mercado Pago;1
264415;2019-06-09 22:44:08.7124057;Pago;3977,18;88,79;312512;MasterCard;6
264403;2019-06-09 22:08:03.8116795;Pedido Enviado;2996,89;71,06;312511;MasterCard;12
264395;2019-06-09 19:54:19.4405897;Pago;602,30;69,05;311648;MasterCard;10
264372;2019-06-09 19:07:03.4099435;Pago;1611,02;227,50;312510;MasterCard;1
264365;2019-06-09 17:03:07.8669572;Aguardando Pagamento;155,33;63,17;311580;Deposito Bancario;1
264357;2019-06-09 15:33:47.3444065;Pago;592,43;68,25;312508;MasterCard;10
264306;2019-06-09 14:44:51.8567764;Pago;245,48;63,16;312507;MasterCard;6
264251;2019-06-09 12:21:45.2673047;Pago;330,74;61,75;312216;MasterCard;4
264201;2019-06-09 08:12:31.0000000;Pedido Enviado;36,79;18,23;312506;Mercado Pago;1
264158;2019-06-09 06:53:32.0000000;Pedido Enviado;307,06;24,52;312505;Mercado Pago;1
264138;2019-06-08 23:08:36.0000000;Pedido Enviado;908,27;68,72;312504;Mercado Pago;1
264104;2019-06-08 22:21:26.0000000;Aguardando Pagamento;296,19;66,39;312504;Mercado Pago;1
264067;2019-06-08 17:49:05.0000000;Pago;153,49;15,62;312502;Mercado Pago;1
264065;2019-06-08 18:28:45.7057531;Aguardando Pagamento;2972,41;167,44;312475;ItauShopline;1
264019;2019-06-08 14:16:33.5430000;Pedido Enviado;43,55;26,86;312501;Mercado Pago;2
263987;2019-06-08 14:34:05.1257605;Pago;3207,96;121,05;312500;Visa;6
263978;2019-06-08 11:05:57.5980494;Pedido Enviado;2635,70;64,87;312493;MasterCard;10
263976;2019-06-08 06:08:49.0000000;Aguardando Pagamento;519,57;126,28;312498;Mercado Pago;1
263939;2019-06-06 10:01:44.0000000;Pedido Enviado;88,86;12,97;312497;Mercado Pago;1
263894;2019-06-06 10:50:19.0000000;Pago;276,95;64,59;312496;Mercado Pago;1
263849;2019-06-07 23:26:36.0000000;Pedido Cancelado;707,61;126,75;312495;Mercado Pago;1
263800;2019-06-07 21:43:38.0000000;Pedido Enviado;748,77;108,07;312494;Mercado Pago;1
263754;2019-06-07 22:52:02.9918483;Pedido Enviado;791,66;48,17;312492;MasterCard;10
263747;2019-06-07 19:00:45.0400000;Pedido Enviado;226,43;81,24;312490;Mercado Pago;1
263726;2019-06-07 16:10:44.1371665;Aguardando Pagamento;2197,87;340,61;312488;Deposito Bancario;1
263681;2019-06-07 15:48:41.6295876;Pedido Enviado;408,74;111,58;312487;MasterCard;12
263636;2019-06-07 12:16:58.5215248;Pedido Enviado;639,79;66,03;312481;MasterCard;3
263633;2019-06-07 11:24:03.3992567;Aguardando Pagamento;341,84;0,00;312202;ItauShopline;1
263629;2019-06-06 13:47:22.0000000;Pedido Enviado;852,00;0,00;312480;Mercado Pago;1
263598;2019-06-07 08:19:15.0000000;Pedido Enviado;55,71;18,28;312479;Mercado Pago;1
263568;2019-06-07 08:17:22.0300000;Pedido Enviado;440,66;68,78;312478;Mercado Pago;10
263539;2019-06-07 07:25:16.1640736;Aguardando Pagamento;298,62;46,93;308783;Deposito Bancario;1
